_source_flow_id,_source_flow_final,_source_source_ip,_source_destination_ip,_source_network_bytes,_source_network_transport,_source_@timestamp,_source_event_duration,_source_destination_port,_source_source_port,label
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjsoo,False,190.215.171.14,53.179.129.5,950151.0,tcp,2021-05-20T16:06:50.195Z,5098334271960,9200.0,35506.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjsoo,False,190.215.171.14,190.215.171.13,950151.0,tcp,2021-05-20T16:06:50.195Z,5098334225330,9200.0,35506.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjqIo,False,190.215.171.14,53.179.129.5,5432972.0,tcp,2021-05-20T16:06:50.195Z,5098333570147,9200.0,35496.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjqIo,False,190.215.171.14,190.215.171.13,5432972.0,tcp,2021-05-20T16:06:50.195Z,5098333531528,9200.0,35496.0,0
EAT/////AP//////CP8AAAEKa6Q7wKhUmOsYvsw,False,190.215.171.11,53.180.71.201,866084.0,tcp,2021-05-20T16:06:50.195Z,5098332568360,6379.0,52414.0,0
EAT/////AP//////CP8AAAHAqFSWwKhUmOsYvsw,False,190.215.171.11,190.215.171.0,866084.0,tcp,2021-05-20T16:06:50.195Z,5098332491331,6379.0,52414.0,0
EAT/////AP//////CP8AAAEKYAABwKhUkbsBmLo,False,190.215.171.6,53.191.56.26,722051.0,tcp,2021-05-20T16:06:50.195Z,5098849343071,443.0,47768.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZciY,False,240.16.203.232,240.16.203.233,722051.0,tcp,2021-05-20T16:06:50.195Z,5098849311541,6443.0,9842.0,0
EAT/////AP//////CP8AAAEKYAABwKhUlbsB+Lc,False,190.215.171.2,53.191.56.26,722708.0,tcp,2021-05-20T16:06:50.195Z,5098849245591,443.0,47096.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZjhk,False,240.16.203.232,240.16.203.233,722708.0,tcp,2021-05-20T16:06:50.195Z,5098849213619,6443.0,6542.0,0
EAT/////AP//////CP8AAAEKYAABwKhUibsBhpg,False,190.215.171.22,53.191.56.26,718649.0,tcp,2021-05-20T16:06:50.195Z,5098849177795,443.0,39046.0,0
EAT/////AP//////CP8AAAGsEAIKrBACCysZZYI,False,240.16.203.232,240.16.203.233,718649.0,tcp,2021-05-20T16:06:50.195Z,5098849145893,6443.0,33381.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjroo,False,190.215.171.14,53.179.129.5,952626.0,tcp,2021-05-20T16:06:50.195Z,5098334026311,9200.0,35502.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjroo,False,190.215.171.14,190.215.171.13,952626.0,tcp,2021-05-20T16:06:50.195Z,5098333955722,9200.0,35502.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjfIw,False,190.215.171.14,53.179.129.5,1018131.0,tcp,2021-05-20T16:06:50.195Z,5098328283119,9200.0,35964.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjfIw,False,190.215.171.14,190.215.171.13,1018131.0,tcp,2021-05-20T16:06:50.195Z,5098328238451,9200.0,35964.0,0
EAT/////AP//////CP8AAAEKa6Q7wKhUmesYRrk,False,190.215.171.10,53.180.71.201,865887.0,tcp,2021-05-20T16:06:50.195Z,5098842490684,6379.0,47430.0,0
EAT/////AP//////CP8AAAHAqFSWwKhUmesYRrk,False,190.215.171.10,190.215.171.0,865887.0,tcp,2021-05-20T16:06:50.195Z,5098842447429,6379.0,47430.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjPIo,False,190.215.171.14,53.179.129.5,1019714.0,tcp,2021-05-20T16:06:50.195Z,5098328238844,9200.0,35388.0,0
EAT/////AP//////CP8AAAHAqFSdwKhUnvAjPIo,False,190.215.171.14,190.215.171.13,1019714.0,tcp,2021-05-20T16:06:50.195Z,5098328167002,9200.0,35388.0,0
EAT/////AP//////CP8AAAEKbmGBwKhUnvAjMoo,False,190.215.171.14,53.179.129.5,1016888.0,tcp,2021-05-20T16:06:50.195Z,5097827484626,9200.0,35378.0,0
